"symbol","date","adjusted","sma_50","buy_or_sell","shares_owned","invested","savings_account_balance","profit"
"SPY",2000-06-30,99.774384,98.9833986000001,0,1267.11712710456,126425.830812707,0,0
"SPY",2000-07-31,98.207741,100.09924654,1,0,0,125440.710635349,-1985.12017735848
"SPY",2000-08-31,104.624657,101.54025926,0,1208.51732527399,126440.710635349,0,0
"SPY",2000-09-29,98.884758,101.46134854,1,0,0,120503.943248526,-6936.76738682284
"SPY",2000-10-31,98.422195,99.2051890200001,1,0,0,121503.943248526,0
"SPY",2000-11-30,91.074677,95.8704484400001,1,0,0,122503.943248526,0
"SPY",2000-12-29,90.598694,93.8385094600001,1,0,0,123503.943248526,0
"SPY",2001-01-31,94.626579,92.1558400000001,0,1315.73966389006,124503.943248526,0,0
"SPY",2001-02-28,85.600418,91.2283117600001,1,0,0,113627.865208168,-11876.0780403575
"SPY",2001-03-30,80.803619,87.4520692400001,1,0,0,114627.865208168,0
"SPY",2001-04-30,87.707458,83.1979325200001,0,1318.33561073185,115627.865208168,0,0
"SPY",2001-05-31,87.215889,84.5828032800001,0,1329.8014114187,116627.865208168,0,0
"SPY",2001-06-29,85.137527,87.0130901800001,1,0,0,114216.003569298,-3411.86163887083
"SPY",2001-07-31,84.26947,85.6224749600001,1,0,0,115216.003569298,0
"SPY",2001-08-31,79.269585,83.1668609400001,1,0,0,116216.003569298,0
"SPY",2001-09-28,72.798759,79.7599805000001,1,0,0,117216.003569298,0
"SPY",2001-10-31,73.746712,75.9136555800001,1,0,0,118216.003569298,0
"SPY",2001-11-30,79.497299,76.2813017200001,0,1499.6233214074,119216.003569298,0,0
"SPY",2001-12-31,79.945602,78.8894549800002,0,1512.13182687841,120216.003569298,0,0
"SPY",2002-01-31,79.162247,80.0820607000001,1,0,0,120703.75317591,-512.250393387454
"SPY",2002-02-28,77.742363,79.0272984000001,1,0,0,121703.75317591,0
"SPY",2002-03-28,80.328934,79.1566875200001,0,1527.51626426301,122703.75317591,0,0
"SPY",2002-04-30,75.657356,79.1752091400001,1,0,0,116567.841801137,-7135.91137477329
"SPY",2002-05-31,75.208427,77.4789710400001,1,0,0,117567.841801137,0
"SPY",2002-06-28,69.657471,74.3405162800001,1,0,0,118567.841801137,0
"SPY",2002-07-31,64.167099,68.8130469400001,1,0,0,119567.841801137,0
"SPY",2002-08-30,64.603523,64.7813046800001,1,0,0,120567.841801137,0
"SPY",2002-09-30,57.829685,62.6683789000001,1,0,0,121567.841801137,0
"SPY",2002-10-31,62.588123,61.7662258200001,0,1958.3242942297,122567.841801137,0,0
"SPY",2002-11-29,66.448624,62.0781986800002,0,1973.37351481251,123567.841801137,0,0
"SPY",2002-12-31,62.689613,64.1270756200002,1,0,0,124710.021948046,142.180146909173
"SPY",2003-01-31,61.147785,64.2180638600002,1,0,0,125710.021948046,0
"SPY",2003-02-28,60.323574,62.2380333200002,1,0,0,126710.021948046,0
"SPY",2003-03-31,60.452675,60.5659838800002,1,0,0,127710.021948046,0
"SPY",2003-04-30,65.567673,61.7811321600001,0,1963.0103686621,128710.021948046,0,0
"SPY",2003-05-30,69.163155,64.8714957800001,0,1977.46893406444,129710.021948046,0,0
"SPY",2003-06-30,69.899872,68.3618189800001,0,1991.77511190694,130710.021948046,0,0
"SPY",2003-07-31,71.159973,70.6152159200001,0,2005.82795591238,131710.021948046,0,0
"SPY",2003-08-29,72.627716,71.1238745000001,0,2019.59680415759,132710.021948046,0,0
"SPY",2003-09-30,71.835587,72.1181317200001,1,0,0,146078.921929984,12368.8999819383
"SPY",2003-10-31,75.68074,73.9435296400001,0,1943.41284096831,147078.921929984,0,0
"SPY",2003-11-28,76.507271,74.9473559600001,0,1956.4834940831,148078.921929984,0,0
