"symbol","date","adjusted","sma_50","invested","shares","total_shares_value","profit"
"SPY",2002-12-31,62.689613,64.1270756200002,117000,2314.96998339224,145124.572365476,28124.572365476
"SPY",2003-01-31,61.147785,64.2180638600002,118000,2331.32380552987,142555.286825922,24555.2868259223
"SPY",2003-02-28,60.323574,62.2380333200002,119000,2347.90107265267,141633.784100843,22633.7841008427
"SPY",2003-03-31,60.452675,60.5659838800002,120000,2364.44293783895,142936.900477223,22936.9004772232
"SPY",2003-04-30,65.567673,61.7811321600001,121000,2379.69435601876,156031.021375384,35031.0213753835
"SPY",2003-05-30,69.163155,64.8714957800001,122000,2394.1529214211,165587.169597951,43587.1695979506
"SPY",2003-06-30,69.899872,68.3618189800001,123000,2408.4590992636,168350.982755761,45350.9827557612
"SPY",2003-07-31,71.159973,70.6152159200001,124000,2422.51194326904,172385.884475202,48385.8844752023
"SPY",2003-08-29,72.627716,71.1238745000001,125000,2436.28079151425,176941.509422352,51941.5094223519
"SPY",2003-09-30,71.835587,72.1181317200001,126000,2450.20146846229,176011.66075525,50011.6607552505
"SPY",2003-10-31,75.68074,73.9435296400001,127000,2463.41486991687,186433.060282313,59433.0602823127
"SPY",2003-11-28,76.507271,74.9473559600001,128000,2476.48552303166,189469.14903816,61469.14903816
"SPY",2003-12-31,80.356552,76.7137268600002,129000,2488.93005897939,200001.837708741,71001.8377087408
"SPY",2004-01-30,81.945221,79.2933906800002,130000,2501.13333316423,204955.923736609,74955.9237366095
"SPY",2004-02-27,83.057259,81.7120342400001,131000,2513.17322000904,208737.279046155,77737.2790461548
"SPY",2004-03-31,81.9571,82.2315536000001,132000,2525.37472543078,206972.388909603,74972.3889096029
"SPY",2004-04-30,80.406372,82.0673133800001,133000,2537.81155071124,204056.219612385,71056.2196123851
"SPY",2004-05-28,81.783211,81.1992830400001,134000,2550.03899920309,208550.377530055,74550.3775300548
"SPY",2004-06-30,83.296318,81.5306369200001,135000,2562.04433177973,213408.859390022,78408.859390022
"SPY",2004-07-30,80.61261,81.4541960000001,136000,2574.44933888718,207533.08052047,71533.0805204701
"SPY",2004-08-31,80.80896,80.5320309200001,137000,2586.82420424864,209038.573648161,72038.5736481605
"SPY",2004-09-30,81.620064,80.5752984600001,138000,2599.07609368603,212136.757107523,74136.7571075234
"SPY",2004-10-29,82.671715,81.6718461800001,139000,2611.17212919224,215870.078080524,76870.0780805245
"SPY",2004-11-30,86.352074,83.48532212,140000,2622.75262695771,226480.128926746,86480.1289267463
"SPY",2004-12-31,88.953049,86.2340823400001,141000,2633.99451255063,234301.842940648,93301.8429406476
"SPY",2005-01-31,86.958679,87.3731386400002,142000,2645.49422725996,230048.683304652,88048.683304652
"SPY",2005-02-28,88.776421,87.8559461800002,143000,2656.75847951,235857.5092723,92857.5092723
"SPY",2005-03-31,87.152466,87.9195652800001,144000,2668.23262414293,232543.053055707,88543.0530557073
"SPY",2005-04-29,85.519661,87.3080845400001,145000,2679.92584168269,229186.349485844,84186.3494858436
"SPY",2005-05-31,88.27549,86.6363100400001,146000,2691.25401442917,237571.766838202,91571.7668382023
"SPY",2005-06-30,88.409203,87.7885202000001,147000,2702.56505407286,238931.622486234,91931.6224862336
"SPY",2005-07-29,91.791855,89.65725092,148000,2713.45926685459,249073.459571523,101073.459571523
"SPY",2005-08-31,90.931374,90.61388328,149000,2724.45657126132,247738.579428121,98738.579428121
"SPY",2005-09-30,91.661148,91.20712752,150000,2735.3663189769,250726.816997957,100726.816997957
"SPY",2005-10-31,89.493271,90.0567637800001,151000,2746.54034344629,245796.879268472,94796.8792684719
"SPY",2005-11-30,93.426727,90.6089452800002,152000,2757.24391866626,257600.274861643,105600.274861643
"SPY",2005-12-30,93.247948,92.6284139800002,153000,2767.9680152437,258107.337551108,105107.337551108
"SPY",2006-01-31,95.487236,94.8016460800001,154000,2778.4406191423,265305.615112027,111305.615112027
"SPY",2006-02-28,96.033905,95.3947692600001,155000,2788.85360817987,267824.502466853,112824.502466853
"SPY",2006-03-31,97.618866,96.3045495400001,156000,2799.09752967758,273244.726670527,117244.726670527
"SPY",2006-04-28,98.851974,97.3707095000001,157000,2809.21366554757,277696.316227153,120696.316227153
"SPY",2006-05-31,95.874489,97.5071244400001,158000,2819.64396885797,270331.92467619,112331.92467619
"SPY",2006-06-30,96.124527,96.1095765800001,159000,2830.04714098489,272036.942814875,113036.942814875
"SPY",2006-07-31,96.555,94.9131863200001,160000,2840.4039324509,274255.201697796,114255.201697796
